State	Membership	Population	LDS	Temples	Missions	Districts	Stakes	Wards	Branches	Congregations	Family History Centers
Alabama	"37,913"	"4,887,871"	0.78%	1	1	0	7	45	31	76	44
Alaska	"33,298"	"737,438"	4.52%	1	1	0	8	59	21	80	15
Arizona	"432,161"	"7,171,646"	6.03%	6	6	0	115	821	83	904	74
Arkansas	"31,765"	"3,013,825"	1.05%	0	1	0	7	42	27	69	25
California	"761,054"	"39,557,045"	1.92%	8	18	0	154	"1,110"	130	"1,240"	228
Colorado	"150,958"	"5,695,564"	2.65%	2	4	0	35	277	28	305	64
Connecticut	"15,834"	"3,572,665"	0.44%	1	0	0	3	28	7	35	10
Delaware	"5,620"	"967,171"	0.58%	0	0	0	2	10	2	12	3
District of Columbia	"2,805"	"702,455"	0.40%	1	0	0	0	3	1	4	1
Florida	"158,617"	"21,299,325"	0.74%	2	5	0	32	221	49	270	84
Georgia	"85,927"	"10,519,475"	0.82%	1	3	0	17	124	36	160	44
Hawaii	"74,699"	"1,420,491"	5.26%	2	1	0	16	125	16	141	26
Idaho	"456,496"	"1,754,208"	26.02%	6	4	0	132	"1,103"	53	"1,156"	70
Illinois	"57,001"	"12,741,080"	0.45%	2	2	0	12	93	28	121	42
Indiana	"45,395"	"6,691,878"	0.68%	1	1	0	11	75	26	101	40
Iowa	"28,408"	"3,156,145"	0.90%	0	1	0	8	42	24	66	30
Kansas	"38,077"	"2,911,505"	1.31%	0	1	0	7	60	15	75	29
Kentucky	"35,779"	"4,468,402"	0.80%	1	1	0	8	48	30	78	28
Louisiana	"29,750"	"4,659,978"	0.64%	1	1	0	7	35	20	55	15
Maine	"10,994"	"1,338,404"	0.82%	0	0	0	2	18	8	26	10
Maryland	"44,094"	"6,042,718"	0.73%	1	2	0	9	64	14	78	14
Massachusetts	"27,805"	"6,902,149"	0.40%	1	1	0	6	41	16	57	18
Michigan	"45,039"	"9,995,915"	0.45%	1	2	1	8	60	35	95	43
Minnesota	"33,331"	"5,611,179"	0.59%	1	1	0	8	53	22	75	29
Mississippi	"21,561"	"2,986,530"	0.72%	0	0	0	4	30	21	51	20
Missouri	"71,774"	"6,126,452"	1.17%	2	2	0	18	130	23	153	51
Montana	"50,333"	"1,062,305"	4.74%	1	1	0	13	87	37	124	50
Nebraska	"25,046"	"1,929,268"	1.30%	1	1	0	4	41	14	55	18
Nevada	"184,565"	"3,034,392"	6.08%	2	3	0	42	315	30	345	34
New Hampshire	"8,875"	"1,356,458"	0.65%	0	1	0	3	16	5	21	6
New Jersey	"33,926"	"8,908,520"	0.38%	0	1	0	6	42	22	64	20
New Mexico	"69,333"	"2,095,428"	3.31%	1	2	0	14	103	35	138	31
New York	"82,731"	"19,542,209"	0.42%	2	3	1	17	91	48	139	65
North Carolina	"87,768"	"10,383,620"	0.85%	1	2	0	17	136	30	166	51
North Dakota	"11,406"	"760,077"	1.50%	1	1	0	3	20	5	25	7
Ohio	"62,326"	"11,689,442"	0.53%	1	2	0	13	101	23	124	46
Oklahoma	"48,268"	"3,943,079"	1.22%	1	2	0	9	73	20	93	30
Oregon	"153,338"	"4,190,713"	3.66%	2	3	0	35	257	47	304	76
Pennsylvania	"51,954"	"12,807,060"	0.41%	1	2	0	12	79	29	108	46
Rhode Island	"4,165"	"1,057,315"	0.39%	0	0	0	1	6	2	8	1
South Carolina	"40,887"	"5,084,127"	0.80%	1	1	0	7	56	13	69	23
South Dakota	"10,654"	"882,235"	1.21%	0	0	0	2	12	21	33	13
Tennessee	"51,863"	"6,770,010"	0.77%	2	2	0	12	79	32	111	35
Texas	"357,625"	"28,701,845"	1.25%	4	8	2	75	580	118	698	138
Utah	"2,109,578"	"3,161,105"	68.01%	21	10	1	596	"4,824"	322	"5,146"	170
Vermont	"4,622"	"626,299"	0.74%	0	0	0	1	7	4	11	8
Virginia	"95,873"	"8,517,685"	1.13%	1	3	0	22	171	29	200	46
Washington	"289,068"	"7,535,591"	3.84%	4	7	0	62	472	70	542	97
West Virginia	"17,045"	"1,805,832"	0.94%	0	1	0	4	24	10	34	14
Wisconsin	"27,003"	"5,813,568"	0.46%	0	1	0	6	47	19	66	29
Wyoming	"67,421"	"577,737"	11.67%	1	1	0	17	145	22	167	46
